"recclass","Count","percentage"
"L3.2-3.5",1,0
"L3.2-3.6",1,0
"L3.3",12,0
"L3.3-3.5",1,0
"L3.3-3.6",1,0
"L3.3-3.7",1,0
"L3.4",48,0.2
"L3.4-3.7",1,0
"L3.5",81,0.3
"L3.5-3.7",1,0
"L3.5-3.8",1,0
"L3.5-3.9",1,0
"L3.5-5",1,0
"L3.6",43,0.1
"L3.6-4",1,0
"L3.7",38,0.1
"L3.7-3.9",1,0
"L3.7-4",1,0
"L3.7-6",1,0
"L3.7/3.8",1,0
"L3.8",37,0.1
"L3.8-6",1,0
"L3.8-an",1,0
"L3.9",17,0.1
"L3.9-5",1,0
"L3.9-6",1,0
"L3.9/4",1,0
"L3/4",5,0
"L4",801,2.5
"L4-5",14,0
"L4-6",14,0
"L4-an",1,0
"L4/5",38,0.1
"L5",2744,8.6
"L5-6",26,0.1
"L5-7",1,0
"L5/6",66,0.2
"L6",6577,20.6
"L6-melt breccia",1,0
"L6/7",9,0
"L7",20,0.1
"LL",220,0.7
"LL(L)3",2,0
"LL3",67,0.2
"LL3-5",1,0
"LL3-6",6,0
"LL3.0",3,0
"LL3.00",1,0
"LL3.1",2,0
"LL3.1-3.5",1,0
"LL3.15",3,0
"LL3.2",6,0
"LL3.3",11,0
"LL3.4",16,0.1
"LL3.5",10,0
"LL3.6",10,0
"LL3.7",12,0
"LL3.7-6",1,0
"LL3.8",9,0
"LL3.8-6",2,0
"LL3.9",9,0
"LL3.9/4",1,0
"LL3/4",1,0
"LL4",160,0.5
"LL4-5",4,0
"LL4-6",19,0.1
"LL4/5",1,0
"LL5",1897,5.9
"LL5-6",30,0.1
"LL5-7",1,0
"LL5/6",37,0.1
"LL6",964,3
"LL6(?)",1,0
"LL7",16,0.1
"LL7(?)",1,0
"LL~3",3,0
"LL~5",8,0
"LL~6",4,0
"Lodranite",12,0
"Lodranite-an",1,0
"Lunar",15,0
"Lunar (anorth)",58,0.2
"Lunar (bas. breccia)",1,0
"Lunar (bas/anor)",2,0
"Lunar (basalt)",13,0
"Lunar (feldsp. breccia)",8,0
"Lunar (gabbro)",2,0
"Lunar (norite)",1,0
"L~3",1,0
"L~4",5,0
"L~5",26,0.1
"L~6",75,0.2
"Martian (OPX)",1,0
"Martian (chassignite)",1,0
"Martian (nakhlite)",7,0
"Martian (shergottite)",35,0.1
"Mesosiderite",86,0.3
"Mesosiderite-A",2,0
"Mesosiderite-A1",6,0
"Mesosiderite-A2",1,0
"Mesosiderite-A3",3,0
"Mesosiderite-A3/4",1,0
"Mesosiderite-A4",3,0
"Mesosiderite-B",1,0
"Mesosiderite-B1",4,0
"Mesosiderite-B2",1,0
"Mesosiderite-B4",3,0
"Mesosiderite-C",1,0
"Mesosiderite-C2",2,0
"Mesosiderite-an",6,0
"Mesosiderite?",1,0
"OC",69,0.2
"Pallasite",11,0
"Pallasite, PES",3,0
"Pallasite, PMG",34,0.1
"Pallasite, PMG-an",11,0
"Pallasite, ungrouped",4,0
"Pallasite?",1,0
"R",1,0
"R3",6,0
"R3-4",1,0
"R3-6",2,0
"R3.5-6",1,0
"R3.6",2,0
"R3.8",3,0
"R3.8-5",1,0
"R3.8-6",3,0
"R3.9",1,0
"R4",6,0
"R5",8,0
"Relict OC",17,0.1
"Relict iron",1,0
"Stone-uncl",29,0.1
"Stone-ung",1,0
"Ureilite",155,0.5
"Ureilite-an",3,0
"Ureilite-pmict",16,0.1
"Winonaite",13,0
